Category,Item Name,Gluten Free,Vegan,Allergens,Spicy Level,Popular,Description,Price,Price2,Subcategory,Image URL
Vadai,Medhu Vadai  (2pc),,yes,,2,yes,Deep-fried lentil doughnuts ,£4.25,,,
Vadai,Sambhar Vadai (2pc),,yes,,2,yes,Deep-fried lentil doughnuts (medu vadai) soaked in a flavorful and tangy lentil-based vegetable stew called sambhar.,£5.25,,,
Vadai,Curd Vadai (2pc),,,,0,,Deep-fried lentil doughnuts (medu vadai) soaked in a Yogurt.,£4.99,,,
Vadai,Masal Vadai (2pc),yes,yes,,2,,"crispy, deep-fried South Indian snack made from lentil and a blend of spices",£4.25,,,
Snacks,Aloo Bonda,,Yes,,2,,"Golden-brown raw Potato fritters, deep-fried in a flavorful gram flour.",£5.25,,,
Snacks,Paniyaram (7 pc),Yes,Yes,,1,,Golden-brown dumplings made from fermented rice and Lentils,£5.25,,,
Snacks,Punugulu (7 pc),,Yes,,1,yes,"Crispy, deep-fried South Indian snack made from idli or dosa batter",£5.25,,,
Snacks,Vazhakai Baji,,Yes,,1,,"Golden-brown raw banana fritters, deep-fried in a flavorful gram flour.",£6.25,,,
Snacks,Onion / potato Baji,,Yes,,2,yes,"Golden-brown onion, deep-fried in a flavorful gram flour batter with spices.",£5.99,,,
Idly (2pc),Plain Idli,Yes,Yes,,0,,"Soft, fluffy, and steamed rice cake made from a fermented batter of rice and lentil",£5.99,,,
Idly (2pc),Poodi Idli,Yes,,,2,,"Soft, steamed idlis tossed in a spicy, aromatic blend of roasted lentils",£5.99,,,
Idly (2pc),Sambhar Idli,,Yes,,2,yes,"The idlis are placed in a bowl or plate and generously soaked with hot sambhar, allowing them to absorb the flavors.",£6.25,,,
Dosa,Plain Dosa,Yes,Yes,,0,yes,It is essentially a fermented crepe made from a batter of rice and lentil,£8.25,,,
Dosa,Onion Dosa,Yes,Yes,,0,yes,Onions layered on top of Dosa,£8.99,,,
Dosa,Ghee Dosa,Yes,,,0,yes,"Cooked with generous amounts of ghee for an extra crispy, aromatic, and golden texture",£8.99,,,
Dosa,Masal Dosa,Yes,Yes,,2,yes,"Dosa is filled with a spiced mixture of mashed potatoes, onions.",£9.50,,,
Dosa,Mysore Masal Dosa,Yes,Yes,,2,,It is filled with a spicy masal (potato filling)and mixed vegitables and cashews,£9.99,,,
Dosa,Rava Dosa,,Yes,,0,,"It is a crispy, lacy, dosa made with rava (semolina)",£8.25,,,
Dosa,Egg Dosa,Yes,,,0,,"It is a delicious and protein-rich variation of dosa, topped with a layer of beaten egg while cooking.",£8.99,,,
Dosa,Kari Dosa,,,,3,yes,Spiced and cooked meat (usually mutton or chicken pieces) along with egg is spread over the dosa while it cooks.,£10.25,,,
Poori (2pc),Poori (2pc),,Yes,,0,yes,Dough made of wheat flour is rolled into small discs and deep-fried until it puffs up.,£4.99,,,
Pongal,Pongal,Yes,,Milk;Nuts,0,,"The savory version, made with moong dal and rice, tempered with spices and ghee.",£5.50,,,
Upma,Rava Upma,,Yes,Milk;Mustard;Nuts,0,yes,"Made from semolina (rava or sooji), tempered with spices",£4.50,,,
Upma,Semiya Upma,,Yes,,0,,"Made with roasted vermicilli, vegetables, and aromatic spices",£4.50,,,
Soup,veg soup,,Yes,,3,,made with a variety of fresh vegetables simmered in a flavorful broth,£4.99,,,
Soup,Chicken soup,,,,3,yes,made with a chicken simmered in a flavorful broth,£5.25,,,
Veg Starters,Cauliflower chilli,,Yes,,2,,"Crispy, golden-brown - Cauliflower, deep-fried in a flavorful gram flour batter.",£8.99,,,
Veg Starters,Gobi Manchurian,,Yes,,3,yes,"Crispy batter-fried cauliflower florets tossed in a flavorful Indo-Chinese sauce with garlic, ginger, and bell peppers.",£9.25,,,
Veg Starters,Mashroom Manchurian,,Yes,,3,yes,"Crispy, golden-fried mushrooms tossed in a spicy and tangy Indo-Chinese sauce with garlic, ginger, and bell peppers.",£9.25,,,
Veg Starters,Cashew Pakoda,,Yes,,2,yes,"A crunchy and flavorful deep-fried snack made with cashews, gram flour, and aromatic spices.",£9.99,,,
Veg Starters,Chilli Paneer,,,,3,yes,"A popular Indo-Chinese dish featuring crispy fried paneer cubes tossed in a spicy, tangy sauce with bell peppers, onions, and aromatic spices.",£10.25,,,
Veg Starters,Paneer Tikka,,,,2,yes,"Juicy, marinated paneer cubes grilled to perfection with aromatic spices, yogurt, and bell peppers.",£10.99,,,
Non Veg Starters,Chicken 65,,,"Egg,Milk",2,yes,"The marinated chicken is deep-fried until golden brown and then tossed with curry leaves, green chilies",£8.95,,,
Non Veg Starters,Chili Chicken,,,"Egg,Milk",3,yes,"Crispy fried chicken tossed in a spicy, tangy, and slightly sweet sauce.",£9.25,,,
Non Veg Starters,Lamb Chukka,,,,3,Non Veg Starters,"Made with tender lamb pieces well-coated with the thick, roasted masala, giving it a deep and intense flavor",£7.95,,,
Non Veg Starters,Chicken Chukka,,,,3,,"Made with tender chicken pieces well-coated with the thick, roasted masala, giving it a deep and intense flavor",£9.99,,,
Non Veg Starters,Cinthamani Chicken,,,Coconut,3,yes,"A flavorful, chicken dish made with tender chicken pieces cooked in a spicy gravy, infused with traditional spices and a hint of tanginess.",£9.99,,,
Non Veg Starters,Chicken Tikka,,,,2,yes,"Succulent pieces of chicken marinated in a blend of yogurt, spices, and then grilled to perfection for a smoky, juicy flavor",£10.99,,,
Non Veg Starters,Prawn 65,,,,2,yes,"Succulent pieces of chicken marinated in a blend of yogurt, spices, and then grilled to perfection for a smoky, juicy flavor",£9.99,,,
Non Veg Starters,Fish fry,Yes,,Fish,2,,delicious and crispy seafood dish made by marinating fish fillets or whole fish,£9.99,,,
Non Veg Starters,Chicken Lollipop (5 pc),,,,2,,"Crispy Chicken Lollipops (5 pc), juicy wings coated in a flavorful batter, perfect for a tasty appetizer or snack.",£9.99,,,
Veg Curries,Sambhar,,Yes,,2,yes,Is a flavorful and tangy lentil stew,£7.99,,,
Veg Curries,Dhal Thaduka,,,Mustard,0,,"slow-cooked yellow lentils, tempered with aromatic spices, garlic, and red chilies,",£8.99,,,
Veg Curries,Ennai Kathrika,Yes,Yes,,2,yes,"Dish featuring baby brinjals (eggplants) cooked in a rich, flavorful tamarind-based gravy",£9.99,,,
Veg Curries,Bindi Baj,Yes,Yes,,2,,Simple and flavorful dish made with tender okra (bhindi),£11,,,
Veg Curries,Mixed veg curry,Yes,Yes,,2,,"Dish featuring cauliflower,carrots & beans cooked in a rich, flavorful aromatic tomato-based gravy",£9.99,,,
Veg Curries,Aloo saag,Yes,Yes,,2,,Tender potatoes simmered with vibrant spinach and aromatic spices in a comforting Indian classic.,£8.99,,,
Veg Curries,Paneer Tikka,,,,2,yes,"curry made with grilled or tandoor-roasted paneer (Indian cottage cheese) tikka pieces cooked in a creamy, spiced tomato-based gravy",£11.99,,,
Veg Curries,Paneer Butter Masala,,,,2,yes,"Paneer cubes simmered in a rich, buttery tomato-based gravy, infused with aromatic spices.",£11.99,,,
Veg Curries,Mushroom Curry,Yes,,,2,,"Tender mushrooms cooked in a flavorful, spiced gravy made with onions, tomatoes, and a blend of aromatic spices",£10.99,,,
Non-Veg curries,Butter Chicken,Yes,,,2,yes,"Succulent pieces of chicken cooked in a rich, creamy tomato-based gravy, infused with aromatic spices and a touch of butter",£12.99,,,
Non-Veg curries,Chettinad Chicken,Yes,,,2,yes,"Curry made with tender chicken, cooked in a spicy, flavorful gravy of roasted spices, coconut, and tamarind",£12.99,,,
Non-Veg curries,Chettinad Lamb,Yes,,,2,yes,"Curry made with tender lamb, cooked in a spicy, flavorful gravy of roasted spices, coconut, and tamarind",£13.99,,,
Non-Veg curries,Kadai Chicken,Yes,,,2,yes,"Flavorful and spicy dish made with tender chicken pieces cooked in a rich, aromatic tomato-based gravy",£12.99,,,
Non-Veg curries,Kadai Lamb,Yes,,,2,yes,"Flavorful and spicy dish made with tender Lamb pieces cooked in a rich, aromatic tomato-based gravy",£13.99,,,
Non-Veg curries,Madras Chicken,Yes,,,4,yes,"Spicy dish with rich aromatic gravy made with tender chicken pieces simmered in a sauce of tomatoes, onions, and coconut milk",£12.99,,,
Non-Veg curries,Madras Lamb,Yes,,,4,yes,"Spicy dish with rich aromatic gravy made with tender lamb pieces simmered in a sauce of tomatoes, onions, and coconut milk",£13.99,,,
Non-Veg curries,Chicken tikka Masala,Yes,,,2,Yes,"Tender pieces of grilled chicken tikka simmered in a rich, creamy tomato-based sauce, infused with aromatic spices",£12.99,,,
Non-Veg curries,Ginger Chicken,Yes,,,2,,"Tender chicken pieces cooked in a fragrant, spicy gravy with fresh ginger, garlic, and a blend of aromatic spices",£12.99,,,
Non-Veg curries,Fish Curry,Yes,,Fish,2,yes,"Flavorful and aromatic dish made by simmering fish pieces in a spiced, tangy gravy.",£14.25,,,
Non-Veg curries,Malabar Fish Curry,Yes,,Fish,2,,Coastal dish featuring fresh fish cooked in a tangy and aromatic coconut-based gravy with tamarind.,£14.95,,,
Non-Veg curries,Chicken Bhuna,Yes,,,3,,"Tender chicken pieces cooked in a rich, thick, and intensely spiced bhuna sauce",£12.99,,,
Non-Veg curries,Lamb Bhuna,Yes,,,3,,"Tender lamb pieces cooked in a rich, thick, and intensely spiced bhuna sauce",£13.99,,,
Non-Veg curries,Chicken Vindaloo,Yes,,,5,Yes,"A fiery Goan classic with bold, tangy heat. Succulent chicken simmered in a spicy vinegar-based sauce",£12.99,,,
Non-Veg curries,Lamb Vindaloo,Yes,,,5,,"A fiery Goan classic with bold, tangy heat. Succulent lamb simmered in a spicy vinegar-based sauce",£13.99,,,
Biriyani,Chicken Biriyani,Yes,,,2,yes,"Fragrant and flavorful rice dish made with long-grain basmati rice, tender meat (chicken, mutton, fish, or prawns), or vegetables, cooked with aromatic spices",7.99,,,
Biriyani,Lamb Biriyani,Yes,,,2,,"Aromatic basmati rice with tender, spiced lamb, saffron, and herbs",£9.99,,,
Biriyani,Prawn Biriyani,,,,2,yes,"Aromatic basmati rice with spiced prawns, saffron, and herbs.",£10.99,,,
Biriyani,Veg Biriyani,Yes,,,2,,"Aromatic basmati rice with spiced vegetables, saffron, and herbs.",£6.99,,,
Flavored Varity Rice,Steamed Rice,Yes,Yes,,0,,"Fluffy, perfectly cooked basmati rice, lightly seasoned for a simple",£3.25,,,
Flavored Varity Rice,Ghee rice,Yes,,,0,,"Fragrant basmati rice cooked in rich ghee, infused with subtle spices and herbs for a buttery, aromatic side",£3.99,,,
Flavored Varity Rice,Pilau Rice,Yes,,,2,yes,"Fragrant Pilau Rice, infused with aromatic spices, perfect as a flavorful side",£3.99,,,
Flavored Varity Rice,Lemon Rice,Yes,Yes,Mustard,0,,"Fragrant rice flavored with lemon juice, mustard seeds, and curry leaves.",£3.49,,,
Flavored Varity Rice,Curd Rice,Yes,,Mustard,0,yes,Creamy rice mixed with yogurt and tempered spices for a cooling effect.,£3.49,,,
Flavored Varity Rice,Sambhar Rice,,Yes,,2,yes,Spiced rice mixed with lentil-based vegetable curry (sambhar).,£4.99,,,
Flavored Varity Rice,Tamarind Rice,Yes,Yes,,2,,"Tangy rice infused with tamarind paste, spices, and crunchy lentils.",£4.99,,,
Fried Rice,Veg Fried Rice,Yes,,,2,,"Vibrant Veg Fried Rice, packed with fresh vegetables and savory flavors, a deliciously light and satisfying dish.",£6.99,,,
Fried Rice,Egg Fried Rice,Yes,,,2,yes,"Savory Egg Fried Rice, stir-fried with fluffy eggs and crisp vegetables, a classic, flavorful side or main.",£7.50,,,
Fried Rice,Chicken Fried Rice,,,,2,yes,"Hearty Chicken Fried Rice, loaded with tender chicken, crisp veggies, and savory flavors, perfect as a main or side.",£7.99,,,
Fried Rice,Kheema (lamb) Fried Rice,,,,2,,"Spiced Kheema (Lamb) Fried Rice, blending tender minced lamb with aromatic spices and veggies for a bold, flavorful dish.",£8.99,,,
Kids Meal,Chicken Nuggets,,,,0,yes,"Juicy Chicken Nuggets, golden and crispy, a kid-friendly favorite perfect for a quick, tasty meal.",£5.99,,,
Kids Meal,Chocolate Dosa,Yes,,,0,,"A thin, crispy dosa spread with melted chocolate for a sweet twist",£8.25,,,
Kids Meal,Cheese Dosa,Yes,,,0,,"A crispy dosa generously filled with melted cheese for a rich, savory flavor",£9.99,,,
